Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/California/138/2016	EPI859748	2016-10-13	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.10	6b1	0.00	0.00	0.00	3.00	0.01	9.00	2016.79	2016-10-13
A/Yokohama/121/2016	EPI823472	2016-05-02	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	12.00	2016.34	2016-05-02
A/Minnesota/19/2017	EPI980080	2017-03-11	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.19	2017-03-12
A/NewMexico/52/2016	EPI1008892	2016-11-29	North America	USA	unknown	Other Database Import	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.01	9.00	2016.91	2016-11-29
A/RheinlandPfalz/42/2017	EPI995878	2017-02-17	Europe	Germany	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.13	2017-02-17
A/Hunan-Kaifu/SWL1624/2017	EPI1062457	2017-08-07	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.60	2017-08-07
A/HongKong/3649/2017	EPI1078398	2017-07-18	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.54	2017-07-18
A/Mexico/2211/2017	EPI1047284	2017-05-02	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.33	2017-05-02
A/Mexico/2210/2017	EPI1047276	2017-04-29	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.33	2017-04-30
A/Mexico/2125/2017	EPI1047252	2017-04-18	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.30	2017-04-19
A/Mexico/1960/2017	EPI1047196	2017-04-02	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.25	2017-04-03
A/Mexico/2133/2017	EPI1047260	2017-04-03	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.26	2017-04-04
A/Bayern/81/2017	EPI995824	2017-02-27	Europe	Germany	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.16	2017-02-27
A/Minnesota/11/2017	EPI959619	2017-02-12	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.12	2017-02-12
A/Louisiana/7/2017	EPI943620	2017-01-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.08	2017-01-29
A/Mexico/2154/2017	EPI1047268	2017-04-18	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.30	2017-04-19
A/Ecuador/222/2017	EPI1039857	2017-02-27	South America	Ecuador	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.16	2017-02-27
A/Philippines/928/2017	EPI1141209	2017-09-10	Southeast Asia	Philippines	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.70	2017-09-11
A/Mexico/1988/2017	EPI1047212	2017-04-06	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.26	2017-04-06
A/California/74/2017	EPI1078270	2017-08-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.66	2017-08-29
A/Philippines/937/2017	EPI1141177	2017-08-31	Southeast Asia	Philippines	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.67	2017-08-31
A/Paris/1326/2017	EPI1080071	2017-07-30	Europe	France	unknown	Institut Pasteur	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.58	2017-07-31
A/Vietnam/6020/2016	EPI980330	2016-04-22	Southeast Asia	Vietnam	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.31	2016-04-22
A/Hiroshima/16/2016	EPI831441	2016-04-28	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.32	2016-04-27
A/Tokyo/16155/2016	EPI840955	2016-05-27	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.40	2016-05-26
A/Bolivia/800/2017	EPI1039795	2017-06-04	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.43	2017-06-05
A/Madagascar/5602/2016	EPI982547	2016-09-27	Africa	Madagascar	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.74	2016-09-27
A/Antsirabe/5602/2016	EPI859788	2016-10-01	Africa	Madagascar	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.75	2016-09-30
A/Antananarivo/5768/2016	EPI859796	2016-10-05	Africa	Madagascar	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.76	2016-10-05
A/Antsirabe/5599/2016	EPI859780	2016-09-27	Africa	Madagascar	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.74	2016-09-27
A/Madagascar/5599/2016	EPI982545	2016-09-27	Africa	Madagascar	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.74	2016-09-27
A/Hokkaido/29/2016	EPI831447	2016-05-02	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.03	9.00	2016.34	2016-05-02
A/SriLanka/47/2016	EPI903889	2016-12-29	South Asia	Sri Lanka	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2016.99	2016-12-28
A/Lao/2993/2016	EPI871071	2016-09-27	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	9.00	2016.74	2016-09-26
A/Kagawa/441/2016	EPI1044581	2016-07-27	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.57	2016-07-27
A/Florida/73/2016	EPI854112	2016-08-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.66	2016-08-29
A/Florida/72/2016	EPI842109	2016-08-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.66	2016-08-28
A/Buraimi/5450/2016	EPI842543	2016-07-04	West Asia	Oman	unknown	Central Public Health Laboratory Oman	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.51	2016-07-03
A/Oman/5450/2016	EPI832541	2016-07-04	West Asia	Oman	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.51	2016-07-03
A/Norway/4555/2016	EPI917133	2016-11-29	Europe	Norway	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.91	2016-11-28
A/Bolivia/792/2017	EPI1039755	2017-06-04	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.43	2017-06-05
A/Bolivia/492/2017	EPI1039817	2017-05-09	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.35	2017-05-09
A/Bolivia/750/2017	EPI1039787	2017-05-31	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.41	2017-05-31
A/Bolivia/493/2017	EPI1039747	2017-05-09	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.35	2017-05-09
A/Colombia/9953/2016	EPI838805	2016-08-06	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	1.43	0.10	6b1	0.00	0.00	0.00	3.00	0.01	9.00	2016.60	2016-08-05
A/Colombia/3732/2017	EPI1017487	2017-04-25	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	1.43	0.10	6b1	0.00	0.00	0.00	4.00	0.00	9.00	2017.32	2017-04-26
A/Colombia/4790/2017	EPI1058867	2017-02-01	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	1.43	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.09	2017-02-01
A/Bolivia/1868/2016	EPI862759	2016-07-07	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	3.00	0.02	9.00	2016.51	2016-07-06
A/Bolivia/346/2017	EPI1025143	2017-04-27	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.32	2017-04-27
A/Bolivia/638/2017	EPI1039771	2017-05-23	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.38	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.39	2017-05-23
A/Peru/3816/2016	EPI863034	2016-08-09	South America	Peru	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.61	2016-08-08
A/Peru/4516/2016	EPI863042	2016-08-29	South America	Peru	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.66	2016-08-29
A/Macau/613501/2016	EPI1063018	2016-09-05	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.68	2016-09-05
A/Singapore/GP2201/2016	EPI874202	2016-08-22	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.64	2016-08-22
A/Oman/6472/2016	EPI917137	2016-09-17	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.71	2016-09-17
A/HongKong/80/2017	EPI912225	2017-01-02	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2017.01	2017-01-02
A/Sapporo/99/2016	EPI881886	2016-11-18	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	12.00	2016.88	2016-11-18
A/Miyagi/40/2016	EPI943346	2016-12-11	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.94	2016-12-10
A/Miyagi/39/2016	EPI970760	2016-12-11	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.94	2016-12-10
A/Sendai/85/2016	EPI969304	2016-12-18	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2016.96	2016-12-17
A/Sendai/84/2016	EPI969300	2016-12-15	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.96	2016-12-15
A/Yunnan-Chuxiong/SWL1496/2017	EPI1062817	2017-06-04	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.43	2017-06-05
A/Henan-Jiefang/SWL1132/2017	EPI1030327	2017-02-14	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	4.00	0.00	11.00	2017.13	2017-02-15
A/Yunnan-Wuhua/SWL1938/2016	EPI944034	2016-12-14	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.96	2016-12-14
A/Yunnan-Wuhua/1938/2016	EPI1060219	2016-12-14	China	China	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.96	2016-12-14
A/Jiangxi-Jizhou/SWL1501/2017	EPI1062826	2017-06-19	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.47	2017-06-20
A/Yunnan-Anning/SWL1910/2016	EPI885729	2016-12-06	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.93	2016-12-05
A/Yunnan-Xishan/SWL11308/2016	EPI885717	2016-12-06	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.93	2016-12-05
A/Yunnan-Jinghong/SWL1979/2016	EPI885720	2016-11-17	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	9.00	2016.88	2016-11-16
A/Yunnan-Simao/SWL1989/2016	EPI885723	2016-11-23	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.90	2016-11-23
A/Yunnan-Simao/1989/2016	EPI955631	2016-11-23	China	China	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.90	2016-11-23
A/Yunnan-Anning/SWL1247/2017	EPI1030048	2017-04-10	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.28	2017-04-11
A/Sichuan-Qingyang/SWL1663/2017	EPI1030030	2017-04-21	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.31	2017-04-22
A/Switzerland/193740/2016	EPI1046054	2016-12-13	Europe	Switzerland	unknown	Swiss National Reference Centre For Influenza	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.95	2016-12-12
A/Switzerland/194642/2016	EPI1046055	2016-12-13	Europe	Switzerland	unknown	Swiss National Reference Centre For Influenza	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.95	2016-12-12
A/SuratThani/428/2016	EPI924744	2016-11-11	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.87	2016-11-11
A/SuratThani/423/2016	EPI924640	2016-11-15	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.88	2016-11-15
A/Hebei-Xinhua/SWL1106/2017	EPI1030324	2017-02-06	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.10	2017-02-07
A/Shanxi-Chengqu/SWL17/2017	EPI944022	2017-01-03	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2017.01	2017-01-04
A/Switzerland/19374003/2016	EPI917141	2016-12-13	Europe	Switzerland	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.95	2016-12-12
A/Switzerland/19464226/2016	EPI917143	2016-12-22	Europe	Switzerland	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.97	2016-12-21
A/Sassari/1/2016	EPI1019967	2016-12-30	Europe	Italy	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2017.00	2016-12-30
A/Sydney/1001/2017	EPI1082544	2017-04-06	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.27	2017-04-07
A/Shaanxi-Hanbin/SWL1396/2017	EPI1030297	2017-03-07	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.18	2017-03-07
A/Yunnan-Simao/SWL1965/2017	EPI1136227	2017-11-07	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.85	2017-11-07
A/Bolivia/1948/2016	EPI870866	2016-07-11	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.02	13.00	2016.53	2016-07-10
A/Nelson/1/2016	EPI892792	2016-09-15	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.71	2016-09-14
A/SouthAuckland/33/2016	EPI829262	2016-07-15	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.54	2016-07-14
A/Odessa/689/2016	EPI773498	2016-05-09	Europe	Ukraine	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.04	11.00	2016.35	2016-05-08
A/Khmelnitsky/760/2016	EPI815314	2016-04-21	Europe	Ukraine	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	4.00	0.04	11.00	2016.30	2016-04-20
A/Georgia/9/2016	EPI814548	2016-08-22	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.64	2016-XX-XX
A/Colombia/1157/2016	EPI886636	2016-10-26	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.01	10.00	2016.82	2016-10-25
A/Ghana/DILI-16-0662/2016	EPI829401	2016-06-27	Africa	Ghana	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.49	2016-06-27
A/Ghana/DILI-16-0649/2016	EPI829399	2016-06-22	Africa	Ghana	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.47	2016-06-21
A/Singapore/SGH0380/2016	EPI874162	2016-07-14	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.04	9.00	2016.53	2016-07-13
A/Georgia/50/2016	EPI814691	2016-05-19	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.05	10.00	2016.38	2016-XX-XX
A/Paraguay/4502/2016	EPI911882	2016-08-10	South America	Paraguay	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.61	2016-08-10
A/Colombia/242/2016	EPI838766	2016-08-18	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.13	6b1	0.00	0.00	0.00	5.00	0.03	11.00	2016.63	2016-08-18
A/Colombia/137/2016	EPI838758	2016-08-13	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.13	6b1	0.00	0.00	0.00	4.00	0.03	11.00	2016.62	2016-08-12
A/Argentina/294/2016	EPI815443	2016-04-21	South America	Argentina	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	4.00	0.06	9.00	2016.30	2016-04-20
A/Sydney/279/2016	EPI868940	2016-10-27	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.02	9.00	2016.82	2016-10-26
A/Tasmania/61/2016	EPI860028	2016-08-22	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	9.00	2016.64	2016-08-22
A/Newcastle/106/2016	EPI859998	2016-08-10	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	9.00	2016.61	2016-08-09
A/Taiwan/780/2016	EPI912114	2016-09-08	China	Taiwan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.02	11.00	2016.69	2016-09-07
A/Sydney/1047/2016	EPI860030	2016-08-11	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	11.00	2016.61	2016-08-11
A/Sydney/1034/2016	EPI859996	2016-08-03	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.59	2016-08-02
A/Sydney/117/2016	EPI829208	2016-07-07	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.04	10.00	2016.51	2016-07-06
A/Hawaii/65/2016	EPI838837	2016-08-10	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.61	2016-08-09
A/Mexico/4271/2016	EPI862931	2016-09-06	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2016.68	2016-09-06
A/Bolivia/2220/2016	EPI862799	2016-08-15	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.62	2016-08-15
A/Talca/62162/2016	EPI977489	2016-08-29	South America	Chile	unknown	Instituto De Salud Publica De Chile	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	12.00	2016.66	2016-08-29
A/Bolivia/714/2017	EPI1039779	2017-05-25	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.40	2017-05-26
A/Rengo/60574/2016	EPI977484	2016-08-21	South America	Chile	unknown	Instituto De Salud Publica De Chile	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.64	2016-08-20
A/LaSerena/63301/2016	EPI977501	2016-09-04	South America	Chile	unknown	Instituto De Salud Publica De Chile	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.02	11.00	2016.68	2016-09-03
A/Linares/62774/2016	EPI977493	2016-08-26	South America	Chile	unknown	Instituto De Salud Publica De Chile	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.65	2016-08-26
A/Rancagua/60367/2016	EPI977482	2017-04-22	South America	Chile	unknown	Instituto De Salud Publica De Chile	unknown	unknown	unknown	0.04	0.10	6b1	0.00	0.00	0.00	4.00	0.01	10.00	2017.31	2017-04-23
A/NewYork/76/2016	EPI815812	2016-04-27	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.06	10.00	2016.32	2016-04-26
A/Congo/770/2016	EPI842202	2016-05-12	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.05	9.00	2016.36	2016-05-11
A/Shizuoka-C/58/2016	EPI1006385	2016-08-10	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.03	0.10	6b1	0.00	0.00	0.00	3.00	0.03	10.00	2016.61	2016-08-10
